Chl_a,Phy,NO2,NO3,NH4,PO4,Site,Bay,Depth
6.66,0.74,0.218299519,0.522734995,31.78480674,15.31765138,XVI,West Bay,1.097
6.45,0.78,0.218299519,0.522734995,31.78480674,15.31765138,XVI,West Bay,1.098
6.27,0.77,0.218299519,0.522734995,31.78480674,15.31765138,XVI,West Bay,1.098
6.13,0.58,0.214950433,0.527930719,30.44610675,14.83430685,XVI,West Bay,2.004
6.1,0.57,0.214950433,0.527930719,30.44610675,14.83430685,XVI,West Bay,2.004
6.13,0.53,0.214950433,0.527930719,30.44610675,14.83430685,XVI,West Bay,2.009
6.21,0.52,0.214950433,0.527930719,30.44610675,14.83430685,XVI,West Bay,2.265
6.15,0.54,0.214950433,0.527930719,30.44610675,14.83430685,XVI,West Bay,2.287
6.13,0.56,0.214950433,0.527930719,30.44610675,14.83430685,XVI,West Bay,2.297
7,1.03,0.212210272,0.536514958,32.62964757,15.07467454,XVI,West Bay,2.905
7.17,1.05,0.212210272,0.536514958,32.62964757,15.07467454,XVI,West Bay,2.929
7.2,1.05,0.212210272,0.536514958,32.62964757,15.07467454,XVI,West Bay,2.933
6.81,0.65,0.203685326,0.514828459,0.01553,14.12266193,XIX,West Bay,0.999
7.03,0.57,0.203685326,0.514828459,0.01553,14.12266193,XIX,West Bay,1.003
7.16,0.89,0.203685326,0.514828459,0.01553,14.12266193,XIX,West Bay,1.036
7.37,0.89,0.211601347,0.544647395,17.12200397,15.74718225,XIX,West Bay,2
7.02,0.61,0.211601347,0.544647395,17.12200397,15.74718225,XIX,West Bay,2.001
7.66,0.65,0.211601347,0.544647395,17.12200397,15.74718225,XIX,West Bay,2.013
7.27,0.64,0.21068796,0.507373724,17.16082938,15.8685076,XIX,West Bay,3.001
7.48,0.61,0.21068796,0.507373724,17.16082938,15.8685076,XIX,West Bay,3.009
7.67,0.66,0.21068796,0.507373724,17.16082938,15.8685076,XIX,West Bay,3.01
8.95,0.73,0.211601347,0.489527543,17.07851952,15.66466797,V,West Bay,0.999
8.23,0.73,0.211601347,0.489527543,17.07851952,15.66466797,V,West Bay,1
7.78,0.85,0.211601347,0.489527543,17.07851952,15.66466797,V,West Bay,1.001
9.06,1.05,0.203076401,0.447961752,16.98689156,15.69826074,V,West Bay,1.998
8.83,0.75,0.203076401,0.447961752,16.98689156,15.69826074,V,West Bay,2.001
9.19,1.01,0.203076401,0.447961752,16.98689156,15.69826074,V,West Bay,2.003
8.79,1.01,0.203076401,0.447961752,16.98689156,15.69826074,V,West Bay,2.007
8.81,0.75,0.203076401,0.447961752,16.98689156,15.69826074,V,West Bay,2.014
10.46,1.62,0.203076401,0.447961752,16.98689156,15.69826074,V,West Bay,2.071
8.63,1.07,0.203076401,0.447961752,16.98689156,15.69826074,V,West Bay,2.097
9.17,1.5,0.203076401,0.447961752,16.98689156,15.69826074,V,West Bay,2.098
7.42,0.78,0.213123659,0.651046783,16.7803404,15.44125973,XX ,Central Bay,1
7.87,0.62,0.213123659,0.651046783,16.7803404,15.44125973,XX ,Central Bay,1.002
8.66,0.99,0.213123659,0.651046783,16.7803404,15.44125973,XX ,Central Bay,1.008
8.26,0.82,0.212210272,0.680639818,31.97815726,13.93317261,XX ,Central Bay,2
8.29,0.6,0.212210272,0.680639818,31.97815726,13.93317261,XX ,Central Bay,2
8.16,0.67,0.212210272,0.680639818,31.97815726,13.93317261,XX ,Central Bay,2.004
8.33,0.92,0.212210272,0.680639818,31.97815726,13.93317261,XX ,Central Bay,2.994
8.44,0.79,0.21586382,0.641558939,16.77645786,15.48496295,XX ,Central Bay,3.002
8.15,0.97,0.21586382,0.641558939,16.77645786,15.48496295,XX ,Central Bay,3.005
8.3,0.6,0.21586382,0.641558939,16.77645786,15.48496295,XX ,Central Bay,3.006
3.15,0.48,NaN,NaN,NaN,NaN,IV,Central Bay,0.01
5.63,0.56,NaN,NaN,NaN,NaN,IV,Central Bay,0.04
5.5,0.55,NaN,NaN,NaN,NaN,IV,Central Bay,0.898
5.67,0.54,0.211296885,0.7203984,33.39217854,16.89325019,IV,Central Bay,0.999
6.16,0.5,0.211296885,0.7203984,33.39217854,16.89325019,IV,Central Bay,1.001
6.23,0.74,0.211296885,0.7203984,33.39217854,16.89325019,IV,Central Bay,1.001
6.26,0.61,0.211296885,0.7203984,33.39217854,16.89325019,IV,Central Bay,1.007
6.18,0.51,NaN,NaN,NaN,NaN,IV,Central Bay,1.286
6.41,0.59,NaN,NaN,NaN,NaN,IV,Central Bay,1.478
6.12,0.65,NaN,NaN,NaN,NaN,IV,Central Bay,1.588
5.83,0.61,NaN,NaN,NaN,NaN,IV,Central Bay,1.699
5.89,0.54,NaN,NaN,NaN,NaN,IV,Central Bay,1.808
5.96,0.68,0.209774573,0.732822957,33.13049531,17.0165324,IV,Central Bay,2
6.45,0.61,0.209774573,0.732822957,33.13049531,17.0165324,IV,Central Bay,2.002
5.85,0.61,0.209774573,0.732822957,33.13049531,17.0165324,IV,Central Bay,2.004
6.24,0.54,NaN,NaN,NaN,NaN,IV,Central Bay,2.7
6.34,0.66,NaN,NaN,NaN,NaN,IV,Central Bay,2.893
5.77,0.6,0.212819197,0.721979708,17.72457427,16.99468079,IV,Central Bay,2.998
6.06,0.7,0.212819197,0.721979708,17.72457427,16.99468079,IV,Central Bay,3.004
6.47,0.62,0.212819197,0.721979708,17.72457427,16.99468079,IV,Central Bay,3.006
6.08,0.69,NaN,NaN,NaN,NaN,IV,Central Bay,3.06
5.76,0.61,NaN,NaN,NaN,NaN,IV,Central Bay,3.249
5.8,0.49,NaN,NaN,NaN,NaN,IV,Central Bay,3.408
6.06,0.47,NaN,NaN,NaN,NaN,IV,Central Bay,4.301
6.37,0.58,NaN,NaN,NaN,NaN,IV,Central Bay,4.434
6.66,0.75,NaN,NaN,NaN,NaN,IV,Central Bay,4.508
7.14,0.82,NaN,NaN,NaN,NaN,IV,Central Bay,4.551
9.55,0.85,NaN,NaN,NaN,NaN,IV,Central Bay,4.574
1.54,0.24,NaN,NaN,NaN,NaN,XXI,Central Bay,0.003
4.1,0.41,NaN,NaN,NaN,NaN,XXI,Central Bay,0.02
5.32,0.59,NaN,NaN,NaN,NaN,XXI,Central Bay,0.072
5.35,0.74,NaN,NaN,NaN,NaN,XXI,Central Bay,0.856
5.3,0.48,0.211296885,0.683350631,34.26109113,17.3508294,XXI,Central Bay,1.001
5.06,0.63,0.211296885,0.683350631,34.26109113,17.3508294,XXI,Central Bay,1.002
5.41,0.66,0.211296885,0.683350631,34.26109113,17.3508294,XXI,Central Bay,1.004
5.45,0.62,0.211296885,0.683350631,34.26109113,17.3508294,XXI,Central Bay,1.009
5.1,0.7,NaN,NaN,NaN,NaN,XXI,Central Bay,1.097
4.98,0.58,NaN,NaN,NaN,NaN,XXI,Central Bay,1.294
5.11,0.48,NaN,NaN,NaN,NaN,XXI,Central Bay,1.454
5.41,0.49,NaN,NaN,NaN,NaN,XXI,Central Bay,1.615
5.31,0.72,0.212514734,0.67228148,39.96143721,17.38376988,XXI,Central Bay,2.002
5.12,0.51,0.212514734,0.67228148,39.96143721,17.38376988,XXI,Central Bay,2.002
5.73,0.64,0.212514734,0.67228148,39.96143721,17.38376988,XXI,Central Bay,2.003
5.47,0.74,0.212514734,0.67228148,39.96143721,17.38376988,XXI,Central Bay,2.008
5.59,0.6,NaN,NaN,NaN,NaN,XXI,Central Bay,2.689
5.48,0.7,NaN,NaN,NaN,NaN,XXI,Central Bay,2.944
5.71,0.58,0.207034412,0.663697241,18.0142118,17.42453781,XXI,Central Bay,3.001
5.18,0.5,0.207034412,0.663697241,18.0142118,17.42453781,XXI,Central Bay,3.002
5.76,0.56,0.207034412,0.663697241,18.0142118,17.42453781,XXI,Central Bay,3.007
5.18,0.69,NaN,NaN,NaN,NaN,XXI,Central Bay,3.191
6.6,0.68,NaN,NaN,NaN,NaN,XXI,Central Bay,3.239
5.07,0.59,NaN,NaN,NaN,NaN,XXI,Central Bay,4.297
10.94,0.58,NaN,NaN,NaN,NaN,XXI,Central Bay,4.316
5.63,0.62,NaN,NaN,NaN,NaN,XXIII,East Bay,0.001
6.4,0.58,NaN,NaN,NaN,NaN,XXIII,East Bay,0.001
12.01,1.29,NaN,NaN,NaN,NaN,XXIII,East Bay,0.004
2.48,2.07,NaN,NaN,NaN,NaN,XXIII,East Bay,0.004
2.89,2.2,NaN,NaN,NaN,NaN,XXIII,East Bay,0.004
2,2.09,NaN,NaN,NaN,NaN,XXIII,East Bay,0.015
-0.05,0.35,NaN,NaN,NaN,NaN,XXIII,East Bay,0.015
0.05,0.72,NaN,NaN,NaN,NaN,XXIII,East Bay,0.017
0.27,1.5,NaN,NaN,NaN,NaN,XXIII,East Bay,0.02
5.42,0.5,NaN,NaN,NaN,NaN,XXIII,East Bay,0.024
4.72,0.53,NaN,NaN,NaN,NaN,XXIII,East Bay,0.075
5.6,1.08,NaN,NaN,NaN,NaN,XXIII,East Bay,0.272
4.3,0.64,NaN,NaN,NaN,NaN,XXIII,East Bay,0.788
3.68,0.5,0.217995057,0.38199865,0.01553,4.741472891,XXIII,East Bay,1
4.11,0.34,0.217995057,0.38199865,0.01553,5.0676163,XXIII,East Bay,1
3.66,0.37,0.217995057,0.38199865,0.01553,5.39375971,XXIII,East Bay,1.001
3.97,0.63,NaN,NaN,NaN,NaN,XXIII,East Bay,1.025
3.73,0.49,NaN,NaN,NaN,NaN,XXIII,East Bay,1.196
3.64,0.35,NaN,NaN,NaN,NaN,XXIII,East Bay,1.307
3.81,0.33,NaN,NaN,NaN,NaN,XXIII,East Bay,1.385
5.39,0.78,0.235958337,0.43214868,0.01553,5.076422172,XXIII,East Bay,1.429
4.95,0.75,0.235958337,0.43214868,0.01553,5.402565582,XXIII,East Bay,1.447
2.43,0.37,0.235958337,0.43214868,0.01553,5.728708992,XXIII,East Bay,1.463
4.73,0.62,0.235958337,0.43214868,0.01553,6.054852402,XXIII,East Bay,1.488
4.8,0.76,0.235958337,0.43214868,0.01553,6.380995811,XXIII,East Bay,1.508
4.78,0.71,0.235958337,0.43214868,0.01553,6.707139221,XXIII,East Bay,1.509
4.79,0.73,0.235958337,0.43214868,0.01553,7.033282631,XXIII,East Bay,1.509
0.56,0.44,NaN,NaN,NaN,NaN,XXIII,East Bay,1.527
2.85,0.8,NaN,NaN,NaN,NaN,XXIII,East Bay,1.566
0.47,0.52,NaN,NaN,NaN,NaN,XXIII,East Bay,1.567
0.46,1.07,NaN,NaN,NaN,NaN,II,East Bay,0.016
5.93,0.67,NaN,NaN,NaN,NaN,II,East Bay,0.227
22.34,0.7,NaN,NaN,NaN,NaN,II,East Bay,0.269
6.11,0.67,NaN,NaN,NaN,NaN,II,East Bay,0.314
6.99,1.13,NaN,NaN,NaN,NaN,II,East Bay,0.638
6.02,0.63,0.208556724,0.660308725,15.881144,15.18915088,II,East Bay,0.999
5.99,0.7,0.208556724,0.660308725,15.881144,15.18915088,II,East Bay,1.003
6.37,0.56,0.208556724,0.660308725,15.881144,15.18915088,II,East Bay,1.003
6.53,0.67,0.208556724,0.660308725,15.881144,15.18915088,II,East Bay,1.004
6.16,0.55,0.208556724,0.660308725,15.881144,15.18915088,II,East Bay,1.004
6.38,0.81,NaN,NaN,NaN,NaN,II,East Bay,1.076
6.59,0.84,NaN,NaN,NaN,NaN,II,East Bay,1.338
6.46,0.81,NaN,NaN,NaN,NaN,II,East Bay,1.495
7.17,1.34,NaN,NaN,NaN,NaN,II,East Bay,1.716
6.11,0.67,NaN,NaN,NaN,NaN,II,East Bay,1.721
6.55,0.6,0.209470111,0.636137314,15.92385195,15.07173925,II,East Bay,1.999
6.58,0.74,0.209470111,0.636137314,15.92385195,15.07173925,II,East Bay,2
6.33,0.58,0.209470111,0.636137314,15.92385195,15.07173925,II,East Bay,2.001
6.66,0.63,0.209470111,0.636137314,15.92385195,15.07173925,II,East Bay,2.001
6.08,0.53,NaN,NaN,NaN,NaN,II,East Bay,2.732
5.82,0.66,0.209774573,0.673185084,16.08536564,15.43832444,II,East Bay,2.993
6.02,0.72,0.209774573,0.673185084,16.08536564,15.43832444,II,East Bay,2.999
6.27,0.8,0.209774573,0.673185084,16.08536564,15.43832444,II,East Bay,3
5.99,0.51,0.209774573,0.673185084,16.08536564,15.43832444,II,East Bay,3.002
7.52,1.25,NaN,NaN,NaN,NaN,II,East Bay,3.042
6.3,0.53,NaN,NaN,NaN,NaN,II,East Bay,3.074
5.73,1.15,NaN,NaN,NaN,NaN,II,East Bay,3.272
6.49,0.63,NaN,NaN,NaN,NaN,II,East Bay,3.305
6.32,0.75,NaN,NaN,NaN,NaN,II,East Bay,3.489
5.96,0.76,NaN,NaN,NaN,NaN,II,East Bay,3.604
2.51,1,NaN,NaN,NaN,NaN,II,East Bay,3.843
5.73,0.62,NaN,NaN,NaN,NaN,II,East Bay,4.385
6,0.54,NaN,NaN,NaN,NaN,II,East Bay,4.538
9.16,0.88,NaN,NaN,NaN,NaN,II,East Bay,4.55
0.93,0.95,NaN,NaN,NaN,NaN,II,East Bay,4.602
1.08,1.06,NaN,NaN,NaN,NaN,II,East Bay,4.625
1.09,1,NaN,NaN,NaN,NaN,II,East Bay,4.642
0.97,0.62,NaN,NaN,NaN,NaN,II,East Bay,4.667
0.95,0.73,NaN,NaN,NaN,NaN,II,East Bay,4.685
1.05,0.92,NaN,NaN,NaN,NaN,II,East Bay,4.698
1.12,1.15,NaN,NaN,NaN,NaN,II,East Bay,4.729
1.16,1.37,NaN,NaN,NaN,NaN,II,East Bay,4.753
1.15,1.47,NaN,NaN,NaN,NaN,II,East Bay,4.763
1.2,1.49,NaN,NaN,NaN,NaN,II,East Bay,4.778
1.27,1.44,NaN,NaN,NaN,NaN,II,East Bay,4.783
1.44,1.3,NaN,NaN,NaN,NaN,II,East Bay,4.785
1.58,1.13,NaN,NaN,NaN,NaN,II,East Bay,4.785
1.57,0.95,NaN,NaN,NaN,NaN,II,East Bay,4.787
1.52,0.85,NaN,NaN,NaN,NaN,II,East Bay,4.787
3.1,0.28,NaN,NaN,NaN,NaN,VIII,South Bay,0.002
5.06,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,0.007
5.85,0.64,NaN,NaN,NaN,NaN,VIII,South Bay,0.054
5.86,0.75,NaN,NaN,NaN,NaN,VIII,South Bay,0.127
5.5,0.69,NaN,NaN,NaN,NaN,VIII,South Bay,0.22
5.33,0.53,NaN,NaN,NaN,NaN,VIII,South Bay,0.336
5.92,0.62,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,0.999
5.88,0.48,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1
5.81,0.69,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1
5.99,0.54,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1.001
5.79,0.44,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1.002
5.48,0.63,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1.006
5.64,0.69,0.21190581,0.639074028,16.38276825,15.66303725,VIII,South Bay,1.006
5.66,0.45,NaN,NaN,NaN,NaN,VIII,South Bay,1.193
6,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,1.306
5.92,0.61,NaN,NaN,NaN,NaN,VIII,South Bay,1.416
5.61,0.66,NaN,NaN,NaN,NaN,VIII,South Bay,1.494
5.38,0.59,NaN,NaN,NaN,NaN,VIII,South Bay,1.54
5.28,0.47,NaN,NaN,NaN,NaN,VIII,South Bay,1.571
5.47,0.42,NaN,NaN,NaN,NaN,VIII,South Bay,1.593
5.81,0.51,NaN,NaN,NaN,NaN,VIII,South Bay,1.61
6,0.65,NaN,NaN,NaN,NaN,VIII,South Bay,1.655
5.75,0.71,NaN,NaN,NaN,NaN,VIII,South Bay,1.695
5.37,0.63,NaN,NaN,NaN,NaN,VIII,South Bay,1.708
5.26,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,1.728
5.46,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,1.775
5.62,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,1.817
5.65,0.63,NaN,NaN,NaN,NaN,VIII,South Bay,1.86
5.38,0.67,NaN,NaN,NaN,NaN,VIII,South Bay,1.904
5.08,0.59,NaN,NaN,NaN,NaN,VIII,South Bay,1.948
5.54,0.52,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,1.986
5.71,0.59,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,1.993
5.16,0.45,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,1.993
5.25,0.52,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,2.001
5.3,0.55,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,2.002
5.8,0.56,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,2.004
5.36,0.58,0.212819197,0.643366148,16.59242544,15.87731347,VIII,South Bay,2.004
5.49,0.4,NaN,NaN,NaN,NaN,VIII,South Bay,2.038
5.79,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,2.054
5.97,0.62,NaN,NaN,NaN,NaN,VIII,South Bay,2.065
5.89,0.7,NaN,NaN,NaN,NaN,VIII,South Bay,2.077
5.48,0.63,NaN,NaN,NaN,NaN,VIII,South Bay,2.089
5.32,0.48,NaN,NaN,NaN,NaN,VIII,South Bay,2.1
5.61,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,2.112
5.87,0.47,NaN,NaN,NaN,NaN,VIII,South Bay,2.124
5.92,0.6,NaN,NaN,NaN,NaN,VIII,South Bay,2.136
5.74,0.67,NaN,NaN,NaN,NaN,VIII,South Bay,2.146
5.38,0.61,NaN,NaN,NaN,NaN,VIII,South Bay,2.153
5.24,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,2.163
5.53,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,2.17
5.9,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,2.176
6.02,0.61,NaN,NaN,NaN,NaN,VIII,South Bay,2.184
5.74,0.64,NaN,NaN,NaN,NaN,VIII,South Bay,2.219
5.49,0.6,NaN,NaN,NaN,NaN,VIII,South Bay,2.257
5.46,0.48,NaN,NaN,NaN,NaN,VIII,South Bay,2.297
5.62,0.44,NaN,NaN,NaN,NaN,VIII,South Bay,2.337
5.88,0.51,NaN,NaN,NaN,NaN,VIII,South Bay,2.375
5.32,0.47,NaN,NaN,NaN,NaN,VIII,South Bay,2.386
5.94,0.64,NaN,NaN,NaN,NaN,VIII,South Bay,2.415
5.78,0.68,NaN,NaN,NaN,NaN,VIII,South Bay,2.457
5.43,0.62,NaN,NaN,NaN,NaN,VIII,South Bay,2.48
5.31,0.49,NaN,NaN,NaN,NaN,VIII,South Bay,2.482
5.56,0.45,NaN,NaN,NaN,NaN,VIII,South Bay,2.509
5.85,0.52,NaN,NaN,NaN,NaN,VIII,South Bay,2.564
5.95,0.65,NaN,NaN,NaN,NaN,VIII,South Bay,2.622
5.73,0.7,NaN,NaN,NaN,NaN,VIII,South Bay,2.681
5.34,0.61,NaN,NaN,NaN,NaN,VIII,South Bay,2.744
5.33,0.47,NaN,NaN,NaN,NaN,VIII,South Bay,2.821
5.63,0.43,NaN,NaN,NaN,NaN,VIII,South Bay,2.901
5.89,0.5,NaN,NaN,NaN,NaN,VIII,South Bay,2.967
5.84,0.63,NaN,NaN,NaN,NaN,VIII,South Bay,2.973
5.46,0.46,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,2.995
5.28,0.53,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,2.996
5.32,0.47,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,2.999
5.83,0.53,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.001
5.64,0.62,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.002
5.79,0.57,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.003
5.26,0.55,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.004
5.77,0.52,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.007
5.53,0.67,0.212210272,0.634104205,31.3119133,15.86231088,VIII,South Bay,3.007
5.37,0.58,NaN,NaN,NaN,NaN,VIII,South Bay,3.049
